MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
강서로17가길,140,140,140,140,140,140,140,140,140,140,140,140,1,140,140,140
강서로17나길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
강서로17다길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
강서로17라길,38,38,38,38,38,38,38,38,38,38,38,38,1,38,38,38
강서로18마길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
강서로18아길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강서로29길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
강서로31길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강서로33가길,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8
강서로33길,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24
강서로35길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
강서로37길,23,23,23,23,23,23,23,23,23,23,23,23,2,23,23,23
강서로41길,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17
강서로43길,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17
강서로45길,34,34,34,34,34,34,34,34,34,34,34,34,0,34,34,34
강서로45나길,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15
강서로45다길,167,167,167,167,167,167,167,167,167,167,167,167,1,167,167,167
강서로45라길,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20
강서로46길,55,55,55,55,55,55,55,55,55,55,55,55,2,55,55,55
강서로47가길,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15
강서로47길,228,228,228,228,228,228,228,228,228,228,228,228,4,228,228,228
강서로47나길,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8
강서로47다길,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16,16
강서로47라길,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28
강서로47마길,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24
